<<<<<<< HEAD
HIST,99,999,Get Lucky,Cancion,Daft Punk,2026-06-15 01:42:03
HIST,99,999,Cruel Summer,Cancion,Taylor Swift,2026-07-05 17:34:34
HIST,99,999,Cruel Summer,Cancion,Taylor Swift,2026-07-05 17:34:35
HIST,99,999,Snowblind,Cancion,Black Sabbath,2026-07-05 17:35:48
HIST,99,999,Last Nite,Cancion,The Strokes,2026-07-05 17:36:01
HIST,99,999,Snowblind,Cancion,Black Sabbath,2026-07-05 17:36:06
HIST,99,999,Snowblind,Cancion,Black Sabbath,2026-07-05 17:36:42
HIST,99,999,Last Nite,Cancion,The Strokes,2026-07-05 17:36:43
HIST,99,999,Snowblind,Cancion,Black Sabbath,2026-07-05 17:38:56
HIST,99,999,Snowblind,Cancion,Black Sabbath,2026-07-05 17:43:53
HIST,99,999,Last Nite,Cancion,The Strokes,2026-07-05 17:43:54
HIST,99,999,Clocks,Cancion,Coldplay,2026-07-05 17:43:55
HIST,99,999,Snowblind,Cancion,Black Sabbath,2026-07-05 17:44:07
HIST,99,999,Last Nite,Cancion,The Strokes,2026-07-05 17:44:08
HIST,99,999,Clocks,Cancion,Coldplay,2026-07-05 17:44:10
HIST,99,999,Snowblind,Cancion,Black Sabbath,2026-07-05 17:44:27
HIST,99,999,Last Nite,Cancion,The Strokes,2026-07-05 17:44:29
HIST,99,999,Cruel Summer,Cancion,Taylor Swift,2026-07-05 17:44:47
HIST,99,999,Master of Puppets,Cancion,Metallica,2026-07-05 17:44:52
HIST,99,999,Thinking Out Loud,Cancion,Ed Sheeran,2026-07-05 17:44:52
HIST,99,999,Eyes Closed,Cancion,Ed Sheeran,2026-07-05 17:44:54
>>>>>>> feature/Algoritmo-Recomendacion
HIST,99,999,Snowblind,Cancion,Black Sabbath,2026-07-05 18:30:59
HIST,99,999,Snowblind,Cancion,Black Sabbath,2026-07-05 18:31:15
HIST,99,999,Last Nite,Cancion,The Strokes,2026-07-05 18:31:16
HIST,99,999,Clocks,Cancion,Coldplay,2026-07-05 18:31:17
